chnm,Classification,casn,Code,Testname,AC50
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ACEA_AR_agonist_AUC_viability,1.94906767
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ACEA_AR_antagonist_80hr,1.079929981
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ACEA_AR_antagonist_AUC_viability,1.426555653
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ACEA_ER_AUC_viability,0.060915442
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_CellCycleArrest_72h_dn,0.042648311
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_CellLoss_24h_dn,0.05240024
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_CellLoss_72h_dn,0.153283762
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_MitoMass_24h_up,0.012894445
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_MitoticArrest_72h_up,0.117636261
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_NuclearSize_24h_up,0.098359871
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_OxidativeStress_24h_up,0.616702203
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_OxidativeStress_72h_up,0.037630612
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_p53Act_24h_up,0.335559098
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,APR_HepG2_p53Act_72h_up,0.045007427
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ATG_CAR_TRANS_dn,40.26739208
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ATG_CMV_CIS_up,18.052862
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ATG_ERE_CIS_up,3.140145064
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ATG_E_Box_CIS_dn,10.62703481
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ATG_M_32_TRANS_dn,0.898525315
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ATG_NF_kB_CIS_dn,14.34409599
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ATG_PPARa_TRANS_up,77.27318745
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,ATG_PPARg_TRANS_up,22.24357491
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_3C_Proliferation_down,0.01703654
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_3C_SRB_down,10.21028814
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_3C_TissueFactor_down,0.250599728
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_3C_Vis_down,32.6629235
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_4H_VEGFRII_down,2.166102321
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_4H_uPAR_down,16.64094029
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_CASM3C_Proliferation_down,0.266498505
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_LPS_CD40_down,3.044042003
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_LPS_IL1a_down,1.333866324
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_LPS_IL8_down,0.387266016
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_LPS_MCP1_down,0.232567313
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_LPS_SRB_down,0.440844396
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_LPS_TNFa_down,4.308369769
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_LPS_TissueFactor_down,4.412779282
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_SAg_CD40_down,0.960993997
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_SAg_CD69_down,7.139281349
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_SAg_Eselectin_down,7.27925466
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_SAg_MCP1_down,1.539087349
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_SAg_PBMCCytotoxicity_down,0.443669598
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_SAg_Proliferation_down,0.053002148
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_SAg_SRB_down,0.472580465
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_hDFCGF_MCSF_down,0.44514104
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_hDFCGF_PAI1_down,8.106709941
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,BSK_hDFCGF_Proliferation_down,0.046495861
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,CEETOX_H295R_11DCORT_up,5.456537366
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,CEETOX_H295R_CORTIC_up,5.564555172
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,CEETOX_H295R_DOC_dn,0.350618117
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,CEETOX_H295R_ESTRONE_up,3.652837668
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,CEETOX_H295R_MTT_Cytotoxicity_dn,0.292499612
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,CEETOX_H295R_MTT_Cytotoxicity_up,0.292499612
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,CEETOX_H295R_OHPREG_up,6.288124101
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,NVS_ENZ_hPDE4A1,10.14487525
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,NVS_ENZ_hVEGFR2,5.573589935
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,NVS_GPCR_bAdoR_NonSelective,15.9696514
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,NVS_GPCR_hAdoRA1,11.60538434
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,NVS_GPCR_hAdoRA2a,16.64795932
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,NVS_NR_hER,21.48049968
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,OT_FXR_FXRSRC1_0480,17.0179415
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,OT_FXR_FXRSRC1_1440,24.87495791
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,OT_NURR1_NURR1RXRa_0480,47.77286648
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,OT_NURR1_NURR1RXRa_1440,47.11669634
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_CAR_Antagonist,0.125606477
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_DT40,0.002128484
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_DT40_100,0.003629802
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_DT40_657,0.002153222
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_ERR_Antagonist,43.8054455
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_ERa_LUC_BG1_Agonist,74.86960369
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_H2AX_HTRF_CHO_Agonist_ratio,13.35224509
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_PGC_ERR_Agonist,21.31178501
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_RT_HEK293_GLO_40hr_viability,27.69313956
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_SSH_3T3_GLI3_Antagonist,0.58446566
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_TR_LUC_GH3_Antagonist,0.057746051
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_TR_LUC_GH3_Antagonist_viability,0.166035946
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,TOX21_p53_BLA_p1_ch2,0.37577655
