"","X","test","values"
"30","C298464","ACEA_AR_agonist_80hr",0.0285268159269079
"52","C52017","ACEA_AR_agonist_80hr",0.0446273978012165
"53","C53167","ACEA_AR_agonist_80hr",0.0212668729916371
"81","C60548","ACEA_AR_agonist_80hr",21.7429781652323
"127","C67209","ACEA_AR_agonist_80hr",8.90556232071805
"131","C68224","ACEA_AR_agonist_80hr",0.0047251252983038
"194","C169590425","ACEA_AR_agonist_AUC_viability",14.7847281099796
"198","C23593751","ACEA_AR_agonist_AUC_viability",12.5429269842872
"205","C298464","ACEA_AR_agonist_AUC_viability",29.0991354319162
"215","C4291638","ACEA_AR_agonist_AUC_viability",1.94906766989391
"222","C49562289","ACEA_AR_agonist_AUC_viability",26.084334488181
"227","C52017","ACEA_AR_agonist_AUC_viability",30.1207989633252
"231","C53861","ACEA_AR_agonist_AUC_viability",25.3990539626904
"239","C58140","ACEA_AR_agonist_AUC_viability",40.6721114867153
"254","C59052","ACEA_AR_agonist_AUC_viability",0.942252498270325
"255","C59303","ACEA_AR_agonist_AUC_viability",21.6488198815302
"267","C64868","ACEA_AR_agonist_AUC_viability",0.00344631230160287
"283","C65277421","ACEA_AR_agonist_AUC_viability",21.1805818283684
"320","C81812","ACEA_AR_agonist_AUC_viability",48.4690056542841
"323","C86386734","ACEA_AR_agonist_AUC_viability",270.270745286297
"325","C97322877","ACEA_AR_agonist_AUC_viability",23.136890565789
"334","C97778","ACEA_AR_agonist_AUC_viability",20.9015181784587
"352","C10540291","ACEA_AR_antagonist_80hr",29.9862676905094
"369","C169590425","ACEA_AR_antagonist_80hr",8.37447490896056
"373","C23593751","ACEA_AR_antagonist_80hr",9.11809500370087
"390","C4291638","ACEA_AR_antagonist_80hr",1.07992998094834
"397","C49562289","ACEA_AR_antagonist_80hr",45.9964424611907
"402","C52017","ACEA_AR_antagonist_80hr",33.1128925814461
"406","C53861","ACEA_AR_antagonist_80hr",29.2665933733469
"414","C58140","ACEA_AR_antagonist_80hr",24.1151877068077
