code,Cmax
C103902,132.3
C22131799,600
C60142963,14.4
C1327533,0.2
C50782,5.5
C51558,0
C34031328,1
C446866,0.3
C51333223,0
C58082,42
C50146,0
C305033,1.6
C56757,34.7
C94202,130.1
C51481619,4.5
C637070,407.9
C76573,297.5
C4342034,20.6
C80080,6
C50022,0.2
C439145,1.4
C41340254,68.5
C98319267,0.2
C86386734,8.8
C93957541,0.7
C54319,3.3
C25812300,360.7
C126078,4.5
C58935,1.6
C50237,0.8
C15687271,250
C53861,5.6
C54853,76.6
C3778732,203
C22071154,15
C75330755,0
C71125387,3.2
C148823,0.6
C60560,2.6
C59052,0.8
C443481,237.2
C55981,0.3
C389082,129.2
C67209,6
C73590586,2.7
C50066,174
C92137,0.1
C36322904,6
C55268741,2
C50248,0.7
C53032,0.1
C57669,56.1
C671169,3.1
C98964,406.9
C58140,3.3
C599791,15.1
C846504,23.3
C97778,5.4
C58559,85
C1156190,90
C64777,233
C396010,0.1
C127480,41.9
C83885,0
C768945,2.7
C53167,0
C57830,0.2
C58220,0
C51616,0.1
C59303,0.1
C59665,135
C55079839,1.3
C54965218,0.9
C315300,13.8
C28981977,0.3
C20537886,240
C37517285,34.3
C1951253,0.9
C14028445,0.2
C69534,8.4
C60719848,13.8
C120511731,0.1
C29122687,5
C78110380,142.4
C1134470,3
C73483,0.1
C3562843,4.3
C86135,0.6
C107437,1015
C90357065,2
C603509,0.2
C28395031,0.1
C36505847,0
C139481597,0
C298464,25.8
C28860959,0.7
C53994733,51.9
C50370122,0.1
C25953199,107.8
C79350371,7.3
C69712567,128.6
C35607660,108.1
C55268752,10.1
C169590425,1.8
C15686712,46.1
C38821533,54.7
C80773,10.6
C50533,0.9
C95250,2.7
C4291638,0
C81103119,4
C911455,0
C303491,0.2
C4205907,0
C5786210,0.9
C2624433,0.5
C68417,266.4
C129033,104.4
C17230885,0.1
C20830813,0.4
C364987,151.7
C22494424,495.6
C20830755,0
C42399417,0.4
C58731,0.3
C34368042,1.3
C75847733,0.4
C51434,0
C114078,11
C2809214,10
C33419420,17
C107868304,0.1
C76824356,0.3
C25451154,42
C72509763,0
C54143554,1
