chnm,Classification,casn,code,CmaxStand,NAS,testname,EC,testtarget,tgt_abbr
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,0.0227,-2.793861101,ACEA_T47D_80hr_Negative_Row198,0.086120647,estrogen receptor ,ESR1
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.88696589,ACEA_T47D_80hr_Negative_Row198,0.001842456,estrogen receptor ,ESR1
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-3.029760189,ACEA_T47D_80hr_Negative_Row198,21.76070502,estrogen receptor ,ESR1
estrone,AmbiDILIDrugs,53-16-7,C53167,0.0218,0.588289587,ACEA_T47D_80hr_Positive_Row621,0.008975287,estrogen receptor,ESR1
norethindrone,AmbiDILIDrugs,68-22-4,C68224,0.0328,0.816930457,ACEA_T47D_80hr_Positive_Row621,0.006004681,estrogen receptor,ESR1
progesterone,LessDILIDrugs,57-83-0,C57830,0.1927,-0.014679756,ACEA_T47D_80hr_Positive_Row621,0.195528789,estrogen receptor,ESR1
spironolactone,LessDILIDrugs,52-01-7,C52017,0.12,-2.833274233,ACEA_T47D_80hr_Positive_Row621,0.459992908,estrogen receptor,ESR1
isoniazid,MostDILI Drugs,54-85-3,C54853,76.5635,0.553997205,ACEA_T47D_80hr_Positive_Row621,34.14753496,estrogen receptor,ESR1
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,0.999988771,ACEA_T47D_80hr_Positive_Row621,7.86E-05,estrogen receptor,ESR1
nitrofurantoin,MostDILI Drugs,67-20-9,C67209,6,-2.63151545,ACEA_T47D_80hr_Positive_Row621,21.7890927,estrogen receptor,ESR1
tamoxifen,MostDILI Drugs,10540-29-1,C10540291,0.1712,0.79145288,ACEA_T47D_80hr_Positive_Row621,0.035703267,estrogen receptor,ESR1
valproic acid,MostDILI Drugs,99-66-1,C99661,540,0.920641296,ACEA_T47D_80hr_Positive_Row621,42.85370037,estrogen receptor,ESR1
carbamazepine,MostDILI Drugs,298-46-4,C298464,25.8176,-1.05685138,ACEA_T47D_80hr_Positive_Row621,53.10296618,estrogen receptor ,ESR1
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.70011865,APR_HepG2_CellCycleArrest_24h_dn_Row186,0.004888066,cell cycle,cellcycle
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,-0.484770982,APR_HepG2_CellCycleArrest_24h_dn_Row186,8.017763304,cell cycle,cellcycle
disulfiram,MostDILI Drugs,97-77-8,C97778,5.4,0.328117246,APR_HepG2_CellCycleArrest_72h_dn_Row623,3.62816687,cell cycle,cellcycle
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,0.0227,-0.87878022,APR_HepG2_CellCycleArrest_72h_dn_Row623,0.042648311,cell cycle,cellcycle
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,-0.588102331,APR_HepG2_CellCycleArrest_72h_dn_Row623,0.025886068,cell cycle,cellcycle
colchicine,AmbiDILIDrugs,64-86-8,C64868,0.0163,0.754601227,APR_HepG2_CellLoss_24h_dn_Row203,0.004,cytotoxicity,cytotoxicity
ketoconazole,MostDILI Drugs,65277-42-1,C65277421,7,-2.302187401,APR_HepG2_CellLoss_24h_dn_Row203,23.11531181,cytotoxicity,cytotoxicity
nitrofurantoin,MostDILI Drugs,67-20-9,C67209,6,-3.748257362,APR_HepG2_CellLoss_24h_dn_Row203,28.48954417,cytotoxicity,cytotoxicity
cladribine,AmbiDILIDrugs,4291-63-8,C4291638,0.0227,-1.308380617,APR_HepG2_CellLoss_24h_dn_Row203,0.05240024,cytotoxicity,cytotoxicity
clofibrate,LessDILIDrugs,637-07-0,C637070,407.911,0.715983342,APR_HepG2_CellLoss_24h_dn_Row203,115.8535189,cytotoxicity,cytotoxicity
